time_elapsed_sec,avg_slope
3,-0.6631373500066416
4,-0.8494521850298935
5,-0.28065921643566033
6,-0.7455057663394754
7,-0.5026927952865661
8,-0.5673390408893554
9,-0.8590888923585259
10,-0.4091179576697148
11,-0.8023256710805651
12,-0.31174194859662274
13,-0.6456083741789815
14,-0.5049589768423358
15,-1.3789899743731509
16,0.11735456693040491
17,-1.0220040685948553
18,-0.40109630795172735
19,-0.9879470914008324
20,-1.1040075915654826
21,-0.5180779440805908
22,-1.1357061477494836
23,-0.5736497245853972
24,-1.0084302487325683
25,-0.3972850652357484
26,-1.1262356713293078
27,-1.3268083669934763
28,-0.48295844269587596
29,-0.32510847800685233
30,-1.1313276100746017
31,-1.0302793207537515
32,0.014734629401500207
33,-1.1443058980279976
34,-0.9177740670108339
35,-0.4181796724931339
36,-0.8523268067034176
37,-0.9714752510761594
38,-1.2117062604824647
39,-0.6720200089218756
40,-0.06704025209625793
41,-1.2275450889167159
42,-1.04197808480583
43,-0.8133451713793977
44,-0.4110572462461502
45,-1.3024732304243065
46,-0.5858880493485948
47,-0.3974119376834769
48,-0.6065076812515958
49,-0.33037341270392917
50,-0.665858544176669
51,-1.4957058257292115
52,-0.7270661857356112
53,-0.8960692864914493
54,-0.751363477927205
55,-0.6028456951594693
56,-0.9720122592837774
57,-1.0916660885492495
58,-1.206627360460246
59,-1.3067998589536087
60,-1.7555613981156
61,-1.7814557827875304
62,-1.317786419055728
63,-1.2790515500744404
64,-0.07765330381428519
65,-1.222625297789569
66,-0.49988875509565694
67,-1.4449273234835536
68,-1.5585013178673155
69,-1.2640570643833948
70,-1.1096326026439225
71,-0.8794759964826205
72,-1.6550481411860538
73,-1.1891951400379088
74,-0.8808856235165855
75,-0.63194591388934
76,-1.3528953724368444
77,-1.015279362825056
78,-1.2054923960674029
79,-1.2799852013893362
80,-0.9524483095346996
81,-1.4559340177328666
82,-0.9195523101203782
83,-1.3458542527841837
84,-1.4047037865605752
85,-0.975652888920512
86,-1.9028804360173697
87,-1.558640206525915
88,-1.2032370578082399
89,-0.4779640855455079
90,-1.3462290828475874
91,-0.8120522679866617
92,-0.6655332249231088
93,-1.5393780758330333
94,-1.38908789206636
95,-0.952869527230395
96,-1.6144796445853469
97,-1.375358898134454
98,-0.7108408569797261
99,-0.34889402246980694
100,-1.6719837952302603
101,-0.871802515287404
102,-1.4064560292482176
103,-0.8770117796471054
104,-1.4639156314464137
105,-1.1001026878320543
106,-1.1152046498095398
107,-1.2236747274159805
108,-0.5041176669948119
109,-0.8854202367029128
110,-1.2079123097732682
111,-1.119802915690426
112,-1.5070463006652808
113,-0.936465113351579
114,-0.6239796648067115
115,-1.0142215863612594
116,-0.5754525692450768
117,-1.4166050992498163
118,-1.0361642455622126
119,-0.4292190706588513
120,-1.1614944239073106
121,-1.1788307991401834
122,-0.9281895955247031
123,-0.8579123910712868
