time_elapsed_sec,avg_slope
3,-1.7342882881921569
4,-1.567679777561547
5,-1.3403249854026413
6,-1.5405144971568718
7,-1.1911181463567904
8,-1.3751445566835445
9,-1.943870714216464
10,-1.7392870397627755
11,-1.322700558553341
12,-1.4107367874826684
13,-1.346466288455388
14,-1.7279379091809541
15,-1.582398654571873
16,-2.117464141556247
17,-0.6305274113336939
18,-1.1973274164098655
19,-1.3800538749194777
20,-1.4328631413326294
21,-1.6534993008927543
22,-0.8321957962935863
23,-1.1472076630204489
24,-1.285882178117048
25,-1.0757148139634827
26,-1.618431383668498
27,-2.1170565232412475
28,-1.5032233351383468
29,-1.0789903351953753
30,-1.9445640449150072
31,-1.4154588686589467
32,-0.9297155082682907
33,-1.512483150380321
34,-1.6866403848662832
35,-1.2419413873097154
36,-1.3837853878044084
37,-0.8073539154698463
38,-0.8214429665667843
39,-1.0188469154223256
40,-0.8360479528596064
41,-1.3252678664209976
42,-1.3692169773706082
43,-1.823562813936353
44,-1.6422094889443801
45,-1.594495110919375
46,-1.3756319144783689
47,-1.6207588328088918
48,-1.0957061938597943
49,-1.2696925666223347
50,-1.6498110525371403
51,-1.0382044222639202
52,-2.2599790949673895
53,-1.0008750446137922
54,-1.4212142011268398
55,-1.5123636890887304
56,-1.7031334267197142
57,-1.4382260148014936
58,-1.742604251471999
59,-1.3007795460637241
60,-1.2412183103348786
61,-1.9108464763257043
62,-1.7405930867719126
63,-1.3534048915148844
64,-1.3132820930156621
65,-1.5696185713641218
66,-1.241269352907507
67,-1.6217265460083772
68,-1.355133737561187
69,-2.3796524698376085
70,-0.9439877127119077
71,-1.7731329789833985
72,-1.5157913473087772
73,-1.747647972295212
74,-0.6278309417321248
75,-1.6987322150495296
76,-1.7553453745303997
77,-1.2547095179865748
78,-1.5350677704129592
79,-1.6471795958352675
80,-2.01713911892868
81,-1.7776522605835574
82,-1.2470140845426028
83,-1.2841329003418218
84,-1.8916971581726696
85,-1.8122161083173862
86,-0.7234461262149537
87,-2.4093994261741325
88,-1.9510856055597294
89,-2.168163183647373
90,-1.186610035229
91,-1.2193508218400413
92,-1.6492687435468236
93,-1.4753136922890462
94,-1.452599755832612
95,-1.6057693462085794
96,-1.1833305717872638
97,-1.814661813649632
98,-1.2435519208163839
99,-1.8103566237010256
100,-2.057943176981739
101,-1.4480671537255265
102,-1.8464306970225948
